zona	habitual_euskera_per	puestos_normativa_per	puestos_practica_per	provincia	poblacion	tamaño	tamano2
Todos						
Más de 10.000						
De 5.001 a 10.000						
Menos de 5.001
Agurain-Salvatierra	12.08	39.04	67.5	ARABA	5207	b. De 5.001 a 10.000	de5001a10000
Alegría-Dulantzi	13.3	41.79	55.6	ARABA	3029	c. Menos de 5.001	menosde5001
Amurrio	10.94	38.57	48.4	ARABA	10336	a. Más de 10.000	másde10000
Añana	5.92	22.47	0	ARABA	169	c. Menos de 5.001	menosde5001
Aramaio	70.08	87.92	100	ARABA	1534	c. Menos de 5.001	menosde5001
Armiñón	6.67	18.06	0	ARABA	225	c. Menos de 5.001	menosde5001
Arraia-Maeztu	8.9	28.45	100	ARABA	730	c. Menos de 5.001	menosde5001
Arratzua-Ubarrundia	11.09	36.6	50	ARABA	1019	c. Menos de 5.001	menosde5001
Artziniega	11.71	36.71	36.4	ARABA	1845	c. Menos de 5.001	menosde5001
Asparrena	14.96	39.26	47.1	ARABA	1658	c. Menos de 5.001	menosde5001
Ayala/Aiara	12.9	38.85	66.7	ARABA	2906	c. Menos de 5.001	menosde5001
Baños de Ebro/Mañueta	3.56	27.16	0	ARABA	309	c. Menos de 5.001	menosde5001
Barrundia	15.06	36.01	66.7	ARABA	936	c. Menos de 5.001	menosde5001
Berantevilla	5.02	23.86	0	ARABA	478	c. Menos de 5.001	menosde5001
Bernedo	6.35	22.35	0	ARABA	520	c. Menos de 5.001	menosde5001
Campezo/Kanpezu	12.39	29.42	25	ARABA	1049	c. Menos de 5.001	menosde5001
Elburgo/Burgelu	7.62	36.62	0	ARABA	630	c. Menos de 5.001	menosde5001
Elciego	5.13	24.8	25	ARABA	1052	c. Menos de 5.001	menosde5001
Elvillar/Bilar	6	28.63	20	ARABA	350	c. Menos de 5.001	menosde5001
Erriberagoitia/Ribera Alta	6	27.95	25	ARABA	833	c. Menos de 5.001	menosde5001
Harana/Valle de Arana	2.93	19.81	51.6	ARABA	239	c. Menos de 5.001	menosde5001
Iruña Oka/Iruña de Oca	8.61	35.37	58.3	ARABA	3323	c. Menos de 5.001	menosde5001
Iruraiz-Gauna	12.3	31.98	0	ARABA	553	c. Menos de 5.001	menosde5001
Kripan	5.29	24.86	25	ARABA	189	c. Menos de 5.001	menosde5001
Kuartango	8.49	27.46	0	ARABA	365	c. Menos de 5.001	menosde5001
Labastida/Bastida	9.9	NA	NA	ARABA	1495	c. Menos de 5.001	menosde5001
Lagrán	4.09	19.23	50	ARABA	171	c. Menos de 5.001	menosde5001
Laguardia	6.22	30.81	0	ARABA	1543	c. Menos de 5.001	menosde5001
Lanciego/Lantziego	6.37	25.89	28.6	ARABA	691	c. Menos de 5.001	menosde5001
Lantarón	4.99	23.68	0	ARABA	921	c. Menos de 5.001	menosde5001
Lapuebla de Labarca	9.38	33.49	25	ARABA	864	c. Menos de 5.001	menosde5001
Laudio/Llodio	11.2	39.12	43.9	ARABA	18249	a. Más de 10.000	másde10000
Legutio	21.88	51.47	50	ARABA	1778	c. Menos de 5.001	menosde5001
Leza	9.09	32.89	0	ARABA	209	c. Menos de 5.001	menosde5001
Moreda de Álava/Moreda Araba	4.92	26.09	50	ARABA	264	c. Menos de 5.001	menosde5001
Navaridas	3.91	25.11	33.3	ARABA	256	c. Menos de 5.001	menosde5001
Okondo	12.07	40.67	44.4	ARABA	1160	c. Menos de 5.001	menosde5001
Oyón-Oion	5.99	31.54	27.3	ARABA	3406	c. Menos de 5.001	menosde5001
Peñacerrada-Urizaharra	6.76	25.1	0	ARABA	281	c. Menos de 5.001	menosde5001
Ribera Baja/Erribera Beitia	5.46	34.05	0	ARABA	1502	c. Menos de 5.001	menosde5001
Samaniego	8.1	34.92	0	ARABA	284	c. Menos de 5.001	menosde5001
San Millán/Donemiliaga	9.45	31.72	50	ARABA	730	c. Menos de 5.001	menosde5001
Urkabustaiz	14.74	40.94	40	ARABA	1364	c. Menos de 5.001	menosde5001
Valdegovía/Gaubea	5.87	25.57	25	ARABA	1039	c. Menos de 5.001	menosde5001
Villabuena de Álava/Eskuernaga	6.25	27.6	0	ARABA	304	c. Menos de 5.001	menosde5001
Vitoria-Gasteiz	8.68	36	36.5	ARABA	242870	a. Más de 10.000	másde10000
Yécora/Iekora	2.59	24.75	25	ARABA	270	c. Menos de 5.001	menosde5001
Zalduondo	25.25	43.15	50	ARABA	202	c. Menos de 5.001	menosde5001
Zambrana	3.93	21.81	33.3	ARABA	407	c. Menos de 5.001	menosde5001
Zigoitia	14.91	40.05	62.5	ARABA	1798	c. Menos de 5.001	menosde5001
Zuia	13.76	40.11	36.4	ARABA	2347	c. Menos de 5.001	menosde5001
test	0	0	0		0		test
test	100	100	100		0		test
